"iso3c","xmin","xmax","ymin","ymax"
"DZA",-8.6738682,11.9873672,18.9602308,37.0886978
"AGO",11.6687033,24.0800734,-18.0420818,-4.372591
"BEN",0.774345,3.851701,6.2349095,12.4183512
"BWA",19.9995346,29.3683109,-26.9073791,-17.7808094
"BFA",-5.518918,2.4054,9.4011078,15.082592
"BDI",29.0003452,30.8502254,-4.4700012,-2.3098226
"CPV",-25.3618031,-22.656805,14.801805,17.2054157
"CMR",8.4994545,16.1910458,1.6522671,13.0773907
"CAF",14.4177408,27.4634209,2.220515,11.0075703
"TCD",13.4734755,24.002686,7.4410691,23.4503708
"COM",43.2287483,44.540974,-12.42264,-11.3648605
"COG",11.200858,18.6499996,-5.030664,3.7030821
"CIV",-8.5993023,-2.4948877,4.3618069,10.73664
"COD",12.2015286,31.3057232,-13.4524763,5.3860979
"GNQ",5.6164412,11.3374367,-1.467639,3.7887499
"ERI",36.4387665,43.137638,12.356982,18.006714
"SWZ",30.7908001,32.1366997,-27.3175201,-25.7187595
"ETH",33.0015373,47.9582291,3.398823,14.8454771
"GAB",8.699028,14.502346,-3.990695,2.3156445
"GMB",-16.817362,-13.7909279,13.0646553,13.82689
"GHA",-3.2620585,1.2002146,4.738774,11.1748417
"GIN",-15.07625,-7.6410708,7.193553,12.6915169
"GNB",-16.7148914,-13.6365204,10.864306,12.6854401
"KEN",33.909588,41.9262161,-4.720417,5.0611658
"LBR",-11.485695,-7.3651128,4.3529158,8.5517902
"MDG",43.188194,50.486526,-25.6062508,-11.94875
"MWI",32.6898379,35.9150467,-17.1272106,-9.3637962
"MLI",-12.2389116,4.2449679,10.1595106,25
"MRT",-17.066521,-4.8299553,14.7155514,27.2980709
"MOZ",30.2194379,40.839306,-26.8686943,-10.47125
"NAM",11.7348623,25.267708,-28.96945,-16.9598904
"NER",0.16625,15.9956417,11.69697,23.5250301
"NGA",2.668431,14.6764154,4.270418,13.8920097
"RWA",28.8617077,30.8990726,-2.8399727,-1.0474502
"STP",6.459862,7.462638,-0.014027,1.701529
"SEN",-17.543186,-11.3424702,12.3078594,16.6920719
"SLE",-13.303506,-10.2657528,6.917616,10.0004311
"ZAF",16.451891,32.891251,-34.8351402,-22.1250305
"SSD",24.1519299,35.8699493,3.480999,12.2189999
"TGO",-0.1440094,1.807527,6.111529,11.13804
"UGA",29.571499,35.0002747,-1.4821398,4.2344661
"TZA",29.3271675,40.445137,-11.7456951,-0.9857875
"ZMB",21.9800379,33.7124379,-18.0791763,-8.2719763
"ZWE",25.2377342,33.0550194,-22.4195725,-15.6072763
"ARG",-73.560565,-53.591835,-55.061531,-21.7813712
"BLZ",-89.224174,-87.48597,15.892658,18.4966585
"BOL",-69.645246,-57.4544335,-22.9065684,-9.6709229
"BRA",-73.9897079,-28.8476399,-33.746316,5.2648778
"COL",-81.84153,-66.837738,-4.2284288,15.912475
"CRI",-87.101849,-82.552319,5.49857,11.2197579
"DOM",-72.0038834,-68.3226395,17.470139,19.9323616
"ECU",-92.008545,-75.187149,-5.0158033,1.681835
"SLV",-90.1248627,-87.683746,13.15264,14.450551
"GUF",-54.5418243,-51.6059303,2.1287229,5.751806
"GTM",-92.2223587,-88.22567,13.7382822,17.8165218
"GUY",-61.386917,-56.4802513,1.176767,8.5309219
"HTI",-74.481247,-71.6181488,18.021805,20.090416
"HND",-89.3507919,-82.405693,12.98454,17.418472
"MEX",-118.3664847,-86.7107429,14.5350742,32.718626
"NIC",-87.690971,-81.999863,10.7073783,15.0259104
"PAN",-83.051887,-77.1292801,7.202359,9.647361
"PRY",-62.6424157,-54.2586327,-27.6058617,-19.2951727
"PER",-81.3306961,-68.6522138,-18.3518047,-0.0389594
"SUR",-58.0865631,-53.9774933,1.831146,6.015139
"VEN",-73.3521423,-59.807007,0.64876,15.672918
"AFG",60.5048676,74.8941269,29.3615723,38.4904111
"DJI",41.748234,43.4176407,10.9087201,12.7067777
"EGY",24.6980992,36.248749,21.725389,31.6679173
"IRN",44.0472641,63.3174591,25.058748,39.7772217
"IRQ",38.7968369,48.568558,29.0585661,37.3780403
"MAR",-13.1679153,-0.9962729,27.6700745,35.9226379
"OMN",52,59.839306,16.6423626,26.506805
"PAK",60.899437,75.3669968,23.702915,36.8898048
"SAU",34.494406,55.6666851,16.379528,32.1543377
"SOM",40.9785004,51.415695,-1.647082,11.9893065
"SDN",21.8389492,38.849304,8.6791191,23.145147
"SYR",35.7162514,42.3850403,32.3106804,37.3191452
"ARE",51.497978,56.3811607,22.6316214,26.0693264
"YEM",41.814583,54.5354156,12.108194,18.9999981
"ARM",43.4497795,46.6300354,38.8305206,41.3018379
"AZE",44.7726021,50.607826,38.3970451,41.9074821
"GEO",40.0111084,46.7213593,41.0385132,43.5845413
"KAZ",46.4918556,87.3126602,40.5516739,55.4318123
"KGZ",69.2797394,80.228428,39.1728439,43.2382355
"TJK",67.3871307,75.137222,36.6720772,41.042244
"TUR",25.6651363,44.8349876,35.8154259,42.1066551
"TKM",52.4414331,66.6843033,35.1298141,42.7955513
"UZB",55.997776,73.1345978,37.1771927,45.571106
"BGD",88.0105667,92.6736603,20.7411118,26.6340733
"BTN",88.7460403,92.1247559,26.700655,28.2476788
"PRK",124.182358,130.674393,37.675976,43.0060501
"IND",68.186249,97.1721573,6.754256,33.2557106
"IDN",95.009705,141.019394,-11.007615,6.076941
"MMR",92.172501,101.1767807,8.824445,28.5432606
"NPL",80.0601425,88.20401,26.3475151,30.4470215
"LKA",79.521805,81.8787537,5.9184718,9.8359709
"THA",97.345192,105.6391296,5.6160421,20.4632111
"TLS",124.0446548,127.342499,-9.504653,-8.1269445
"KHM",102.3338282,107.6276788,9.91361,14.6902693
"CHN",73.5577011,134.7739258,18.159306,53.5608597
"LAO",100.0867691,107.6349792,13.9096752,22.5004005
"MYS",99.640717,119.269722,0.85372,7.380556
"PNG",140.8404999,157.037781,-11.65538,-0.755833
"PHL",116.9283371,126.6053467,4.58694,21.070141
"KOR",124.6097177,131.8714667,33.1123558,38.6117729
"SLB",155.392502,170.192505,-12.308334,-4.44522
"VUT",166.5413971,170.2402802,-20.253241,-13.072476
"VNM",102.1445847,109.46917,8.381355,23.3926926
